ad_id,date,impressions,clicks,spend_usd,campaign_name
1,2024-12-04,0,353,,launch2024
2,2024-02-24,0,0,$55.47,flash_deal
3,2024-06-19,31241,0,,Launch2024
4,2024-02-08,0,0,$429.21,SUMMER SALE
5,2024-09-25,0,0,$14.17,flash_deal
6,2024-12-05,0,606,$17.37,Launch2024
7,2024-09-13,0,0,,flash_deal
8,2024-11-03,0,0,,SUMMER SALE
9,2024-03-31,0,367,,flash_deal
10,2024-02-25,0,0,,Brand_AWARENESS
11,2024-11-21,31411,0,,Summer Sale
12,2024-02-22,0,947,,flash_deal
13,2024-07-22,0,866,,flash_deal
14,2024-03-21,33362,88,$346.69,Brand_AWARENESS
15,2024-11-14,0,0,$427.64,launch2024
16,2024-08-24,0,0,,Brand_AWARENESS
17,2024-06-20,48778,0,,Brand_AWARENESS
18,2024-06-30,11644,0,,launch2024
19,2024-02-25,48281,0,,Summer Sale
20,2024-12-12,19912,703,,Launch2024
21,2024-08-13,44766,0,,SUMMER SALE
22,2024-05-17,0,0,,summer sale
23,2024-11-23,39325,0,,flash_deal
24,2024-11-17,8530,0,,SUMMER SALE
25,2024-03-07,0,473,$268.09,Launch2024
26,2024-11-07,0,0,,summer sale
27,2024-03-27,0,690,$425.82,Brand_AWARENESS
28,2024-05-18,0,0,,SUMMER SALE
29,2024-08-02,0,0,$397.7,Summer Sale
30,2024-10-24,18948,0,,Brand_Awareness
31,2024-06-11,10387,0,,Brand_AWARENESS
32,2024-07-06,46518,0,$338.16,flash_deal
33,2024-10-25,43494,0,,Summer Sale
34,2024-08-01,0,230,,SUMMER SALE
35,2024-01-22,0,0,,Launch2024
36,2024-10-06,46943,606,$83.01,Flash_Deal
37,2024-07-01,0,417,,Brand_Awareness
38,2024-08-26,0,0,,Summer Sale
39,2024-03-01,9265,0,,summer sale
40,2024-02-17,30784,0,,flash_deal
41,2024-10-27,38112,0,,SUMMER SALE
42,2024-10-20,17336,0,,flash_deal
43,2024-07-26,26089,96,,launch2024
44,2024-01-18,5273,616,,Brand_Awareness
45,2024-07-26,46147,0,,Summer Sale
46,2024-05-05,0,909,$260.87,Brand_Awareness
47,2024-10-10,17623,0,$362.74,SUMMER SALE
48,2024-02-21,0,982,,flash_deal
49,2024-12-05,6995,650,,summer sale
50,2024-03-04,0,72,$268.74,SUMMER SALE
51,2024-02-03,9101,0,$158.29,summer sale
52,2024-11-01,0,670,$137.63,Launch2024
53,2024-08-11,45044,210,$369.21,FLASH_DEAL
54,2024-07-03,0,0,,Brand_AWARENESS
55,2024-02-23,41787,0,,launch2024
56,2024-10-22,0,0,$295.01,Launch2024
57,2024-02-07,0,276,$84.63,summer sale
58,2024-10-20,6423,605,$110.82,summer sale
59,2024-11-02,0,0,,Brand_Awareness
60,2024-08-13,16251,614,,Summer Sale
61,2024-01-09,0,0,$296.48,Launch2024
62,2024-02-03,0,0,,FLASH_DEAL
63,2024-02-10,0,921,$89.37,launch2024
64,2024-07-01,0,0,,SUMMER SALE
65,2024-06-16,13972,0,,Summer Sale
66,2024-11-27,0,0,,Flash_Deal
67,2024-01-31,48746,0,,Brand_Awareness
68,2024-09-10,32330,397,,Launch2024
69,2024-12-19,13898,0,,SUMMER SALE
70,2024-07-29,0,0,,SUMMER SALE
71,2024-01-25,21012,0,,SUMMER SALE
72,2024-08-09,0,0,$344.75,FLASH_DEAL
73,2024-09-13,48991,0,,SUMMER SALE
74,2024-01-17,6796,0,,Flash_Deal
75,2024-05-31,25858,0,,launch2024
76,2024-03-30,0,563,,flash_deal
77,2024-04-17,0,0,,Brand_AWARENESS
78,2024-05-27,4070,456,$118.42,Launch2024
79,2024-06-03,23949,0,,launch2024
80,2024-07-29,0,0,$38.51,flash_deal
81,2024-11-10,0,632,,Brand_Awareness
82,2024-08-25,0,0,,SUMMER SALE
83,2024-07-23,0,0,$13.85,launch2024
84,2024-03-01,47307,0,$28.97,launch2024
85,2024-01-30,0,404,,SUMMER SALE
86,2024-12-25,24829,885,,summer sale
87,2024-10-26,0,0,,summer sale
88,2024-11-09,0,974,$472.93,SUMMER SALE
89,2024-07-01,0,62,,Summer Sale
90,2024-06-28,45074,948,,Brand_Awareness
91,2024-05-07,39704,0,$479.96,Brand_AWARENESS
92,2024-11-25,24829,0,,Launch2024
93,2024-10-24,13292,274,,launch2024
94,2024-05-14,0,31,,Brand_AWARENESS
95,2024-10-03,0,754,,flash_deal
96,2024-06-26,0,0,,Launch2024
97,2024-03-24,0,71,,launch2024
98,2024-09-08,0,0,$240.52,flash_deal
99,2024-01-20,0,0,$263.01,flash_deal
100,2024-10-19,0,63,$233.85,flash_deal
101,2024-04-15,0,0,$68.97,Summer Sale
102,2024-07-27,0,523,,flash_deal
103,2024-03-19,0,0,,Flash_Deal
104,2024-03-13,41994,348,$111.41,Launch2024
105,2024-12-30,0,475,$10.42,FLASH_DEAL
106,2024-09-02,0,352,,Brand_Awareness
107,2024-08-06,0,0,,Summer Sale
108,2024-12-03,38448,0,,FLASH_DEAL
109,2024-08-09,39723,0,,Flash_Deal
110,2024-07-27,33565,0,,Summer Sale
111,2024-10-13,14572,182,,summer sale
112,2024-08-03,0,0,,summer sale
113,2024-01-01,0,0,,SUMMER SALE
114,2024-03-14,43061,505,$326.55,launch2024
115,2024-08-15,0,651,$120.06,Brand_AWARENESS
116,2024-05-11,27642,311,,flash_deal
117,2024-07-23,0,677,,Summer Sale
118,2024-06-20,0,0,$219.58,Brand_AWARENESS
119,2024-01-05,3015,0,,SUMMER SALE
120,2024-04-05,0,401,$304.0,Brand_Awareness
121,2024-01-02,12139,914,,flash_deal
122,2024-03-08,10430,0,$101.73,Launch2024
123,2024-07-26,0,0,,summer sale
124,2024-12-13,0,691,$38.72,Flash_Deal
125,2024-12-27,0,545,,launch2024
126,2024-07-18,0,0,,summer sale
127,2024-12-27,22478,79,,SUMMER SALE
128,2024-10-21,27999,404,,Launch2024
129,2024-03-02,25888,703,$301.37,flash_deal
130,2024-11-16,0,0,$106.91,summer sale
131,2024-09-02,14273,914,,FLASH_DEAL
132,2024-04-15,4055,0,$472.13,summer sale
133,2024-03-16,0,55,,FLASH_DEAL
134,2024-06-30,36438,0,$253.35,Summer Sale
135,2024-03-11,0,0,,flash_deal
136,2024-02-28,0,915,$364.83,summer sale
137,2024-05-09,0,0,,Summer Sale
138,2024-02-20,0,293,$421.84,flash_deal
139,2024-05-04,34229,0,,launch2024
140,2024-09-29,0,985,,summer sale
141,2024-11-29,0,0,$419.83,summer sale
142,2024-10-17,0,981,,Brand_Awareness
143,2024-01-09,36355,418,$408.25,FLASH_DEAL
144,2024-12-05,0,50,,FLASH_DEAL
145,2024-04-19,29745,546,,Brand_Awareness
146,2024-03-24,0,202,$193.91,Launch2024
147,2024-03-05,35118,718,,flash_deal
148,2024-03-05,0,324,,Brand_AWARENESS
149,2024-05-28,0,0,,Brand_AWARENESS
150,2024-08-08,0,0,$293.34,FLASH_DEAL
151,2024-06-02,44351,925,,summer sale
152,2024-10-17,0,0,,summer sale
